90,1500,5.0,875517174
160,3194,4.0,974259013
19,48,3.0,855193488
602,344,3.0,842356033
518,296,5.0,945443754
30,5464,5.0,1027051203
654,3869,4.0,1145394039
111,597,3.0,1097430856
295,1220,2.5,1112546005
509,2628,3.0,978937802
190,2070,4.0,975693108
270,138036,4.0,1469256992
248,2454,4.0,1031528295
582,4306,4.0,1122167174
577,5502,4.0,1111551392
190,3160,5.0,975694648
307,2329,4.5,1209039868
420,1307,4.0,892821936
605,3548,5.0,980174990
428,54290,0.5,1304136792
188,231,3.0,841063527
472,556,3.0,939049669
213,8665,2.5,1462637458
453,1100,3.0,994622282
509,33794,4.5,1124553351
501,4995,3.5,1291563434
88,3897,4.5,1239764782
587,3976,4.0,1122546260
67,1097,5.0,854714302
73,2542,4.5,1255508246
671,5902,3.5,1064245507
624,370,3.0,1032164700
283,5791,3.5,1131817416
564,1459,2.0,974843945
350,4372,4.0,1004548442
433,235,4.5,1417930826
488,48394,4.0,1308940302
574,4085,4.0,1232811005
133,593,0.5,1416147032
461,1047,3.0,1091959182
447,339,3.0,832492847
294,1717,3.5,1141056273
580,2693,3.5,1248118078
75,1584,4.0,1143047448
119,1694,2.0,913050075
342,50,5.0,945123389
131,2706,3.0,992139118
380,4370,3.0,994637876
618,50,5.0,1009556335
50,454,3.0,847412628
599,923,1.0,1329891692
125,1291,4.5,1269736488
654,6296,4.0,1145394635
384,5784,2.5,1153159289
70,737,3.0,853954485
648,2706,2.0,1138477996
120,380,3.5,1167422230
119,1204,5.0,913052699
313,736,3.0,1101033262
285,2402,3.0,965093361
656,932,5.0,986242405
277,134853,4.0,1463682434
306,4022,4.0,984612910
516,154,4.0,844687869
624,3175,4.0,1019125340
655,3175,4.5,1470071355
10,50,5.0,942766420
652,4929,4.0,1440272625
480,41997,4.0,1272667084
547,3929,4.0,1022958694
460,7153,4.5,1072836125
472,32632,4.0,1162244518
73,26403,3.5,1359617333
659,521,2.0,834694818
311,6413,3.0,1062619004
254,353,3.0,845157463
19,230,5.0,855192308
257,2918,5.0,1338009626
514,507,4.0,853896152
473,145,4.5,1425645124
557,631,2.0,1285960710
299,37733,3.5,1344179340
580,49272,3.0,1245423800
15,102903,1.0,1458506599
248,2311,4.0,1031529133
385,349,5.0,836678991
380,1246,3.5,1171815872
656,4228,4.0,986241183
547,4690,1.0,1000530218
442,8961,4.0,1227967387
